year,1_4_years,10_14_years,15_19_years,5_9_years,average_unemployment_rate,number_of_births,general_fertility_rate,crude_birth_rate
1948,160.1,65.6,118.7,70.6,3.75,3637000,107.3,24.9
1949,150.2,63.6,111.8,68.2,6.05,3649000,107.1,24.5
1950,139.4,58.1,108.6,61.7,5.208333333333333,3632000,106.2,24.1
1951,136.9,56.4,108.9,61.7,3.2833333333333337,3820000,111.5,24.9
1952,141.1,56.8,114.4,61.3,3.0250000000000004,3909000,113.9,25.1
1953,130.0,53.1,106.9,56.1,2.9250000000000003,3959000,115.2,25.1
1954,118.3,47.8,96.1,52.5,5.591666666666666,4071000,118.1,25.3
1955,113.4,46.6,97.3,50.6,4.366666666666667,4097000,118.3,25.0
1956,110.2,46.3,97.2,48.3,4.125,4210000,121.2,25.2
1957,111.8,47.4,100.2,50.1,4.3,4300000,122.9,25.3
1958,111.7,44.6,91.5,48.4,6.841666666666666,4246000,120.2,24.6
1959,106.9,45.8,92.8,49.4,5.45,4244796,118.8,24.0
1960,109.1,44.0,92.2,49.0,5.541666666666667,4257850,118.0,23.7
1961,101.7,41.9,88.1,45.8,6.691666666666666,4268326,117.1,23.3
1962,99.2,41.9,87.6,45.6,5.566666666666667,4167362,112.0,22.4
1963,101.5,41.2,90.5,45.3,5.641666666666667,4098020,108.3,21.7
1964,98.5,41.6,93.9,44.6,5.158333333333333,4027490,104.7,21.1
1965,95.9,40.5,95.3,43.9,4.508333333333334,3760358,96.3,19.4
1966,96.4,41.1,102.0,44.3,3.7916666666666665,3606274,90.8,18.4
1967,89.4,40.5,102.1,42.9,3.8416666666666663,3520959,87.2,17.8
1968,89.6,41.6,108.1,44.5,3.558333333333333,3501564,85.2,17.6
1969,88.0,41.3,113.5,44.0,3.4916666666666667,3600206,86.1,17.9
1970,84.5,40.6,110.3,42.1,4.983333333333333,3731386,87.9,18.4
1971,82.3,39.9,110.3,42.0,5.95,3555970,81.6,17.2
1972,80.4,40.4,110.4,40.8,5.6000000000000005,3258411,73.1,15.6
1973,79.0,40.3,111.0,41.1,4.8583333333333325,3136965,68.8,14.8
1974,73.3,38.3,104.8,37.2,5.641666666666667,3159958,67.8,14.8
1975,69.9,35.3,100.2,35.2,8.475,3144198,66.0,14.6
1976,68.8,34.2,95.7,34.1,7.699999999999999,3167788,65.0,14.6
1977,67.6,34.6,99.8,33.3,7.050000000000001,3326632,66.8,15.1
1978,67.9,33.7,98.9,32.7,6.066666666666666,3333279,65.5,15.0
1979,64.2,31.8,98.8,31.1,5.8500000000000005,3494398,67.2,15.6
1980,63.9,30.8,97.9,30.4,7.175000000000001,3612258,68.4,15.9
1981,60.6,29.5,90.0,29.1,7.616666666666667,3629238,67.3,15.8
1982,58.2,28.2,85.4,28.3,9.708333333333332,3680537,67.3,15.9
1983,56.1,27.3,81.1,26.5,9.6,3638933,65.7,15.6
1984,52.2,28.3,80.4,25.3,7.508333333333334,3669141,65.5,15.6
1985,51.8,28.0,80.5,25.0,7.191666666666666,3760561,66.3,15.8
1986,52.4,28.6,86.2,23.9,7.0,3756547,65.4,15.6
1987,52.1,27.1,83.5,24.7,6.175000000000001,3809394,65.8,15.7
1988,51.5,27.7,86.7,24.5,5.491666666666666,3909510,67.3,16.0
1989,49.8,27.4,85.9,24.1,5.258333333333333,4040958,69.2,16.4
1990,46.8,26.0,87.9,22.2,5.616666666666666,4158212,70.9,16.7
1991,47.4,25.6,88.7,21.5,6.849999999999999,4110907,69.3,16.2
1992,43.5,24.4,83.6,20.3,7.491666666666667,4065014,68.4,15.8
1993,44.6,25.3,85.8,21.0,6.908333333333332,4000240,67.0,15.4
1994,42.7,24.8,85.5,19.7,6.1000000000000005,3952767,65.9,15.0
1995,40.4,25.1,82.1,19.4,5.591666666666668,3899589,64.6,14.6
1996,38.0,23.4,77.5,19.0,5.408333333333334,3891494,64.1,14.4
1997,35.5,22.5,73.6,18.0,4.941666666666666,3880894,63.6,14.2
1998,34.1,21.5,69.5,17.2,4.5,3941553,64.3,14.3
1999,34.2,20.4,68.6,16.9,4.216666666666668,3959417,64.4,14.2
2000,32.4,20.3,67.1,15.8,3.9666666666666663,4058814,65.9,14.4
2001,33.4,19.1,66.3,15.3,4.741666666666666,4025933,65.1,14.1
2002,31.4,19.4,67.0,15.2,5.783333333333334,4021726,65.0,14.0
2003,31.8,18.9,65.4,14.8,5.991666666666667,4089950,66.1,14.1
2004,30.3,18.4,64.9,14.8,5.541666666666667,4112052,66.4,14.0
2005,29.9,17.7,63.8,14.6,5.083333333333333,4138349,66.7,14.0
2006,29.1,16.2,63.0,14.0,4.608333333333333,4265555,68.6,14.3
2007,29.4,16.5,60.3,13.8,4.616666666666667,4316233,69.3,14.3
2008,29.3,15.2,55.9,12.6,5.8,4247694,68.1,14.0
2009,27.4,15.1,51.9,12.5,9.283333333333333,4130665,66.2,13.5
2010,26.5,14.3,49.4,11.5,9.608333333333333,3999386,64.1,13.0
2011,26.3,14.2,48.9,12.1,8.933333333333334,3953590,63.2,12.7
2012,26.3,13.9,47.2,11.4,8.075000000000001,3952841,63.0,12.6
2013,25.5,14.1,44.8,11.8,7.358333333333334,3932181,62.5,12.4
2014,24.0,14.0,45.5,11.5,6.175000000000001,3988076,62.9,12.5
2015,24.9,14.6,48.3,11.7,5.266666666666667,3978497,62.5,12.4
